,Nash
446,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.38418068, 0.0, 0.61581932], [0.54507258, 0.45492742, 0.0]), ([0.0, 0.64638756, 0.35361244], [0.27052671, 0.72947329, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.38418068, 0.0, 0.61581932], [0.54507258, 0.45492742, 0.0]), ([0.0, 0.64638756, 0.35361244], [0.27052671, 0.72947329, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.38418068, 0.0, 0.61581932], [0.54507258, 0.45492742, 0.0]), ([0.0, 0.64638756, 0.35361244], [0.27052671, 0.72947329, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
447,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
448,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
449,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.84474296, 0.0, 0.15525704], [0.0, 0.01055498, 0.98944502]), ([0.0, 0.69897428, 0.30102572], [0.89846613, 0.10153387, 0.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.84474296, 0.0, 0.15525704], [0.0, 0.01055498, 0.98944502]), ([0.0, 0.69897428, 0.30102572], [0.89846613, 0.10153387, 0.0])]"
450,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.82289069, 0.17710931, 0.0], [0.069051, 0.930949, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.82289069, 0.17710931, 0.0], [0.069051, 0.930949, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.82289069, 0.17710931, 0.0], [0.069051, 0.930949, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
451,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.29533987, 0.70466013, 0.0], [0.15957279, 0.0, 0.84042721]), ([0.38986809, 0.61013191, 0.0], [0.0, 0.12345562, 0.87654438]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.29533987, 0.70466013, 0.0], [0.15957279, 0.0, 0.84042721]), ([0.38986809, 0.61013191, 0.0], [0.0, 0.12345562, 0.87654438]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.29533987, 0.70466013, 0.0], [0.15957279, 0.0, 0.84042721]), ([0.38986809, 0.61013191, 0.0], [0.0, 0.12345562, 0.87654438]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
452,"[([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183]), ([0.0, 0.54595299, 0.45404701], [0.0, 0.93966817, 0.06033183])]"
453,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
454,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
455,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
456,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
457,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
458,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
459,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
460,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.71145999, 0.28854001, 0.0], [0.0, 0.31570633, 0.68429367]), ([0.63193482, 0.0, 0.36806518], [0.62240349, 0.0, 0.37759651]), ([0.60883683, 0.05492607, 0.33623709], [0.48618126, 0.21245362, 0.30136511]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.71145999, 0.28854001, 0.0], [0.0, 0.31570633, 0.68429367]), ([0.63193482, 0.0, 0.36806518], [0.62240349, 0.0, 0.37759651]), ([0.60883683, 0.05492607, 0.33623709], [0.48618126, 0.21245362, 0.30136511])]"
461,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
462,"[([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019]), ([0.79275415, 0.0, 0.20724585], [0.05688981, 0.0, 0.94311019])]"
463,"[([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956]), ([0.0, 0.44339892, 0.55660108], [0.934044, 0.0, 0.065956])]"
464,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
465,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
466,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.2798062, 0.7201938, 0.0], [0.5334057, 0.4665943, 0.0]), ([0.27273688, 0.18555298, 0.54171014], [0.52580484, 0.4443874, 0.02980776]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.2798062, 0.7201938, 0.0], [0.5334057, 0.4665943, 0.0]), ([0.27273688, 0.18555298, 0.54171014], [0.52580484, 0.4443874, 0.02980776]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.2798062, 0.7201938, 0.0], [0.5334057, 0.4665943, 0.0]), ([0.27273688, 0.18555298, 0.54171014], [0.52580484, 0.4443874, 0.02980776]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
467,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.04477419, 0.95522581, 0.0], [0.89399023, 0.10600977, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.04477419, 0.95522581, 0.0], [0.89399023, 0.10600977, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.04477419, 0.95522581, 0.0], [0.89399023, 0.10600977, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
468,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
469,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.84767881, 0.0, 0.15232119], [0.07890623, -0.0, 0.92109377]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.84767881, 0.0, 0.15232119], [0.07890623, -0.0, 0.92109377]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.84767881, 0.0, 0.15232119], [0.07890623, -0.0, 0.92109377]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
470,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.16462761, 0.83537239, 0.0], [0.0, 0.25392869, 0.74607131]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.16462761, 0.83537239, 0.0], [0.0, 0.25392869, 0.74607131]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.16462761, 0.83537239, 0.0], [0.0, 0.25392869, 0.74607131]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
471,"[([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485]), ([0.14810548, 0.30481582, 0.5470787], [0.24203138, 0.01560377, 0.74236485])]"
472,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
473,"[([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0]), ([0.0, 0.52917166, 0.47082834], [0.79645616, 0.20354384, 0.0])]"
474,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
475,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
476,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
477,"[([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0]), ([1.0, 0.0, 0.0], [0.0, 0.0, 1.0])]"
478,"[([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.36943614, 0.63056386, 0.0], [0.26633981, 0.0, 0.73366019]), ([0.23800181, 0.49896495, 0.26303323], [0.23556518, 0.25200741, 0.51242741]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.36943614, 0.63056386, 0.0], [0.26633981, 0.0, 0.73366019]), ([0.23800181, 0.49896495, 0.26303323], [0.23556518, 0.25200741, 0.51242741]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.36943614, 0.63056386, 0.0], [0.26633981, 0.0, 0.73366019]), ([0.23800181, 0.49896495, 0.26303323], [0.23556518, 0.25200741, 0.51242741]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0])]"
479,"[([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [1.0, 0.0, 0.0])]"
480,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
481,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.58434513, 0.41565487, 0.0], [0.86294982, 0.0, 0.13705018]), ([0.0, 0.37031394, 0.62968606], [0.40182822, 0.0, 0.59817178]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.58434513, 0.41565487, 0.0], [0.86294982, 0.0, 0.13705018]), ([0.0, 0.37031394, 0.62968606], [0.40182822, 0.0, 0.59817178]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.58434513, 0.41565487, 0.0], [0.86294982, 0.0, 0.13705018]), ([0.0, 0.37031394, 0.62968606], [0.40182822, 0.0, 0.59817178]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
482,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
483,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0])]"
484,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.14883268, 0.85116732], [0.25088667, 0.0, 0.74911333]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.14883268, 0.85116732], [0.25088667, 0.0, 0.74911333]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.14883268, 0.85116732], [0.25088667, 0.0, 0.74911333]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
485,"[([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.35534406, 0.0, 0.64465594], [0.04231173, 0.95768827, 0.0]), ([0.12012888, 0.0, 0.87987112], [0.43400864, 0.0, 0.56599136]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.35534406, 0.0, 0.64465594], [0.04231173, 0.95768827, 0.0]), ([0.12012888, 0.0, 0.87987112], [0.43400864, 0.0, 0.56599136]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0]), ([0.35534406, 0.0, 0.64465594], [0.04231173, 0.95768827, 0.0]), ([0.12012888, 0.0, 0.87987112], [0.43400864, 0.0, 0.56599136]), ([1.0, 0.0, 0.0], [0.0, 1.0, 0.0])]"
