,Nash
20,"[([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221]), ([0.35971457, 0.64028543, 0.0], [0.0, 0.57346779, 0.42653221])]"
21,"[([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0]), ([0.11326986, 0.88673014, 0.0], [0.95358, 0.04642, 0.0])]"
22,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
23,"[([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.12555874, 0.0, 0.87444126], [0.75551699, 0.24448301, 0.0]), ([0.0, 0.1123739, 0.8876261], [0.0, 0.28522175, 0.71477825]), ([1.0, 0.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 1.0, 0.0]), ([0.12555874, 0.0, 0.87444126], [0.75551699, 0.24448301, 0.0]), ([0.0, 0.1123739, 0.8876261], [0.0, 0.28522175, 0.71477825])]"
24,"[([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0]), ([0.0, 1.0, 0.0], [0.0, 1.0, 0.0])]"
25,"[([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0]), ([0.0, 0.0, 1.0], [0.0, 0.0, 1.0])]"
26,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
27,"[([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778]), ([0.41510087, 0.23886128, 0.34603785], [0.07931938, 0.57258285, 0.34809778])]"
28,"[([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0]), ([0.0, 1.0, 0.0], [1.0, 0.0, 0.0])]"
29,"[([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0]), ([0.0, 1.0, 0.0], [0.0, 0.0, 1.0])]"
