,MSE,PayoffLoss,loss,val_MSE,val_PayoffLoss,val_loss
266,0.004379642195999622,0.0015128845116123557,0.026280247969136517,0.004910600371658802,0.0016967584379017353,0.029430564899304335
267,0.004431572277098894,0.0015304447151720524,0.026594818988091806,0.0050870757550001144,0.0017619536956772208,0.030560457721703193
268,0.004367005079984665,0.001508834189735353,0.02619640949333415,0.005021792370826006,0.0017060245154425502,0.030155097553309272
269,0.004383507184684277,0.0015081982128322124,0.026299805407664356,0.004835860338062048,0.001673010177910328,0.029003909038796145
270,0.004462357144802809,0.0015399509575217962,0.026768198214558996,0.005427692085504532,0.0018875106470659375,0.03254201152745415
271,0.004432922229170799,0.001528727589175105,0.02660241887376589,0.004452964290976524,0.0015292360913008451,0.026728853041985457
272,0.004385125357657671,0.0015096650458872318,0.026312881866623374,0.005128003656864166,0.0017873934702947736,0.030722675122583615
273,0.004394022282212973,0.0015139380702748895,0.026362014140802272,0.005481756292283535,0.0018975718412548304,0.032916444739524056
274,0.004415077157318592,0.0015241143992170691,0.026484239818769344,0.005903597455471754,0.002044418826699257,0.03543185916683253
275,0.004310808144509792,0.001482369378209114,0.02587169906207744,0.004652186296880245,0.0015967957442626357,0.02791182842009208
276,0.004406876862049103,0.0015178377507254481,0.0264386865216143,0.005207980517297983,0.0017802113434299827,0.031201911603703218
277,0.004370581824332476,0.0015058405697345734,0.026224536311801744,0.004340440034866333,0.001474229502491653,0.02605718325727126
278,0.004364958498626947,0.001505430554971099,0.026184553227705114,0.005029467400163412,0.0017311122501268983,0.030108868097207125
279,0.004422709345817566,0.0015218006446957588,0.026530244059773053,0.005177360959351063,0.0017779082991182804,0.031059814555504744
280,0.004442352801561356,0.0015321983955800533,0.026658069218432202,0.005252845585346222,0.0017966409213840961,0.03151665877384298
281,0.00433620298281312,0.0014936868101358414,0.026012415473601398,0.005421468988060951,0.00188631028868258,0.03254118442254908
282,0.004433514550328255,0.001528160530142486,0.02660126713286428,0.004950442351400852,0.0016950445715337992,0.029730580204725264
283,0.004343980457633734,0.0014962293207645416,0.026070776045497727,0.0041093286126852036,0.001415054895915091,0.024681576995288626
284,0.004377728793770075,0.0015104198828339577,0.026263654374024448,0.004695215728133917,0.001617751899175346,0.028151617095400306
285,0.004340533632785082,0.0014959435211494565,0.026039614150804632,0.005629218183457851,0.0019468192476779222,0.03380116598641171
286,0.00432527344673872,0.001489894581027329,0.02595430608198923,0.004997254349291325,0.0017149654449895024,0.030007224229854697
287,0.004491311497986317,0.0015502386959269643,0.026955086632511196,0.004539412911981344,0.0015444032615050673,0.02719253359822666
288,0.004387082997709513,0.0015101482858881354,0.026315334045886995,0.005068177357316017,0.0017522224225103855,0.030388483333587648
289,0.004352928139269352,0.0015022901352494955,0.026115240207840413,0.00494006322696805,0.0017026433488354087,0.029551208893691793
290,0.00434444984421134,0.0015014256350696087,0.026069083311277278,0.005108286626636982,0.0017494979547336698,0.030660253351050264
291,0.004219887778162956,0.0014578778063878417,0.025320982721623253,0.004693806171417236,0.0016300227725878358,0.02818158169546548
292,0.004359988961368799,0.0015064579201862216,0.02616202220758971,0.004555782303214073,0.0015713672619313002,0.027304963996129878
293,0.004269367549568415,0.0014762327773496509,0.02562166390839745,0.004452244844287634,0.0015284002292901278,0.026752026775829933
294,0.004382220096886158,0.0015090586384758353,0.02629356752108125,0.004826291464269161,0.0016762979794293642,0.028952554524470778
295,0.004335257224738598,0.0014973971992731094,0.026013065560425028,0.004972785245627165,0.0016932387370616198,0.02985975879571017
